game,id,category,playerno,difficulty,avgplaytime,age
Firefly,18155,"Thematic Fantasy","1 to 4",3,"120-240 minutes",13+
"Elasund: The First City",19526,Strategy,"2 to 4",2.5,"60-90 minutes",10+
Pentago,19841,"Abstract Strategy",2,2,"3 to 30 minutes",6+
"Wits & Wagers",20100,Trivia,"3 to 7",1,"25 minutes",10+
Prosperity,20166,"Card Drafting/Tile Placement","2 to 4",2.5,"60 minutes",13+
"Lords of Vegas",20437,"City Building","2 to 4",2.5,"60 minutes",12+
"Rory's Story Cubes",20545,Dice/Co-op/Storytelling,"1 to 12",1,"20 minutes",8+
"The Simpsons: Homer's Trivia Game",21356,Trivia,"2 to 5",1.5,"60 minutes",8+
"Mr. Jack",21763,Deduction,2,2,"30 minutes",9+
"Leonardo da Vinci",21920,"Area Control","2 to 5",3,"90 minutes",12+
Parade,22239,"Cards/Set Collection","2 to 6",1.5,"20-30 minutes",12+
"Tide of Iron",22825,Wargames,"2 to 4",3.5,"120 minutes",12+
Push,23033,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
Evolution,24104,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
"Through the Ages: A Story of Civilization",25613,"City Building/Card Drafting","2 to 4",4,"240 minutes",12+
Qwirkle,25669,Abstract,"2 to 4",1.5,"45 minutes",6+
"Cry Havoc",27092,"Strategy/War Game","2 to 4",3.5,"90-120 minutes",10+
"Battle Line",27135,"Deduction/Hand Management",2,2,"30 minutes",12+
Kingsburg,27162,"City Building","2 to 5",2.5,"90 minutes",13+
"Portobello Market",27356,"Strategy/Area Control","2 to 4",2,"35 minutes",8+
Guillotine,27373,Family/Card/Humor,"2 to 5",1,"30 minutes",12+
Chameleon,27482,Party,"3 to 8",1,"5 minutes",14+
"Island Fortress",27574,Auction/Bidding,"2 to 4",3,"90 minutes",13+
Zooloretto,27588,"Tile Placement","2 to 5",2,"45 minutes",8+
"Race for the Galaxy",28143,Strategy,"2 to 4",3,"30-60 minutes",12+
"Cutthroat Caverns",28259,"Hand Management","3 to 6",2,"90 minutes",12+
Marrakech,29223,"Tile Placement/Area Control","2 to 4",1.5,"30 minutes",6+
"World of Warcraft: The Adventure Game",29294,Thematic,"2 to 4",2.5,"90 minutes",12+
Pandemic,30549,Co-Op/Strategy,"2 to 4",3,"60 minutes",13+
Agricola,31260,"Card Drafting","1 to 5",3.5,"30-150 minutes",12+
"Galaxy Trucker",31481,"Tile Placement/Humor","2 to 4",2.5,"60 minutes",10+
"Ticket to Ride: Nordic Countries",31627,"Card Drafting","2 to 3",2,"30-60 minutes",8+
Bang!,32806,Bluffing,"4 to 7",1.5,"20-40 minutes",8+
"Say Anything",33604,Party,"3 to 8",1,"30 minutes",13+
Prosperity,33610,"Card Drafting/Tile Placement","2 to 4",2.5,"60 minutes",13+
Biblios,34219,"Card Drafting","2 to 4",1.5,"30 minutes",10+
"Battlestar Galactica",36006,Bluffing,"3 to 6",3,"120-240 minutes",10+
Gettysburg,36053,Strategy,2,3,"40-240 minutes",12+
Dominion,36218,Card/Strategy,"2 to 4",2.5,"30 minutes",13+
"Bump in the Night",36690,Miniatures/Horror,"2 to 6",2.5,"60 minutes",12+
Imhotep,36919,"Area Control","2 to 4",2,"40 minutes",10+
Chameleon,36945,Party,"3 to 8",1,"5 minutes",14+
"Battlestar Galactica",37111,Bluffing,"3 to 6",3,"120-240 minutes",10+
"Incan Gold",37759,Bluffing,"3 to 8",1,"20 minutes",8+
"Formula D",37904,"Dice Rolling","2 to 10",2,"60 minutes",8+
"Pass the Buck",38152,Bluffing,"3 to 5",1,"30 - 45 minutes",14+
Sidibaba,38402,Partnerships/Voting,"3 to 7",2,"45 minutes",14+
Giants,38862,"Strategy/Bidding/Worker Placement","3 to 5",3,"90 minutes",10+
"Click Clack Lumberjack",39206,Abstract/Party,"2 to 7",1.5,"10 minutes",5+
"Cosmic Encounter",39463,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
Dixit,39856,Party/Cards/Humor,"3 to 6",1.5,"30 minutes",6+
"Flapjacks and Sasquatches",39862,Cards,"2 to 8",1.5,"20 minutes",8+
"Cosmic Encounter",40529,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
"Cosmic Encounter",40531,Thematic/Strategy,"3 to 5",2.5,"60-120 minutes",12+
"The Resistance",41114,Bluffing/Party,"5 to 10",2,"30 minutes",13+
Martinique,42244,Bluffing/Deduction,2,2,"30 minutes",10+
"Castle Panic",43443,"Co-Op/Tower Defense","1 to 6",2,"30 minutes",10+
Friday,43570,Cards/Solo,1,2,"25 minutes",10+
Telestrations,46213,Party/Humor,"4 to 6",1,"30 minutes",12+
"High Noon Saloon",46362,"Area Movement","2 to 6",1.5,"45 minutes",10+
"Rush n' Crush",46782,Thematic/Family,"3 to 6",2,"60 minutes",12+
"Stop Thief!",49301,Cooperative,"2 to 4",1.5,"30-60 minutes",10+
"Cards Against Humanity",50381,Party/Adult,"4 to 30",1,"30 minutes",18+
Thunderstone,53953,"Card Drafting","1 to 5",2.5,"60 minutes",12+
Jaipur,54043,"Card Drafting",2,1.5,"30 minutes",12+
"Battle Sheep",54137,Abstract,"2 to 4",1.5,"15 minutes",7+
Parade,56692,"Cards/Set Collection","2 to 6",1.5,"20-30 minutes",12+
Evolution,57977,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
"Bunny Bunny Moose Moose",59149,Party/Dexterity,"3 to 6",1.5,"20 minutes",9+
Runewars,59294,Thematic/Strategy,"2 to 4",3.5,"180 minutes",14+
"Letters from Whitechapel",59959,Thematic/Strategy,"2 to 6",2.5,"120 minutes",13+
"Passing the Bar",61811,Lawyers,"2 to 4",5,"60 minutes",21+
Funglish,62709,Party,"3 to 12",1,"25 minutes",12+
Dominion,64777,Card/Strategy,"2 to 4",2.5,"30 minutes",13+
"Formula D",64896,"Dice Rolling","2 to 10",2,"60 minutes",8+
"Road Kill Rally",65225,"Dice Rolling","3 to 6",2,"60-120 minutes",13+
"Forbidden Island",65244,Co-op/Strategy,"2 to 4",1.5,"30 minutes",10+
Gettysburg,65825,Strategy,2,3,"40-240 minutes",12+
"The Rivals for Catan",66056,Card/Strategy,2,2.5,"45 minutes",10+
Push,66511,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Battles of Westeros",67492,Wargame,2,3,"60-120 minutes",12+
"7 Wonders",68448,"Strategy/City Building","2 to 7",2.5,"30 minutes",10+
Push,68787,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"King of Tokyo",70323,Dice/Family,"2 to 6",1.5,"30 minutes",8+
Takenoko,70919,"Territory Building/Tile Placement","2 to 4",2,"45 minutes",8+
Onirim,71836,"Set Collection","1 to 2",1.5,"15 minutes",8+
"Mr. Jack Pocket",72287,Strategy,2,2,"15 minutes",14+
"Those Pesky Humans!",76442,"Tile Placement","2 to 4",2,"90 minutes",13+
"Sid Meier's Civilization: The Board Game",77130,Strategy,"2 to 4",4,"120-240 minutes",13+
"Hex Hex XL",79067,Cards,"3 to 6",2,"20 minutes",14+
Suburbia,81185,"City Building/Card Drafting","1 to 4",3,"90 minutes",8+
Konexi,82948,Action,"2 to 4",1.5,"20 minutes",10+
Felinia,84869,"Territory Building","2 to 4",2.5,"60 minutes",10+
Nightfall,88408,"Card Drafting","2 to 5",2.5,"45 minutes",12+
"Saturday Night Live: The Game",89071,Party,"2 to 8",1,"20-30 minutes",12+
"ImagiNiff: 10th Anniversary Edition",89478,Party/Bluffing,"3 to 8",1,"35 minutes",12+
Push,89578,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Rhino Hero",91514,Dexterity,"2 to 5",1,"5-15 minutes",5+
Spontuneous,94684,Party,"4 to 10",1,"30 minutes",8+
Tem-Purr-A,95386,Social,"3 to 7",1,"30 minutes",8+
"Dealer's Choice",97080,Auction/Bidding,"3 to 5",1.5,"45 minutes",8+
Coconuts,98386,Action/Dexterity,"2 to 4",1,"20 minutes",6+
Hanabi,98778,Family/Cards,"2 to 5",1.5,"25 minutes",8+
Bears!,99081,"Party/Dice Rolling","2 to 4",1,"20 minutes",7+
"Colonial: Europe's Empires Overseas",99392,"Area Control","2 to 6",3.5,"120 minutes",14+
"Elder Sign",100423,Thematic,"1 to 8",2.5,"90 minutes",13+
"Flash Point: Fire Rescue",100901,Thematic/Family,"1 to 6",2,"45 minutes",10+
Quarto,101859,"Abstract Strategy",2,2,"20 minutes",6+
"Sentinels of the Multiverse",102652,Co-op/Cards,"1 to 5",2.5,"30-60 minuts",8+
"Lost Temple",102835,Adventure,"2 to 8",1.5,"40 minutes",10+
"A Game of Thrones: The Board Game (Second Edition)",103343,"Bluffing/Area Control","3 to 6",3.5,"120-240 minutes",14+
"VivaJava: The Coffee Game",103660,"Bluffing Negotiation","3 to 8",2.5,"90 minutes",13+
"Star Wars: X-Wing Miniatures Game",103885,Bluffing,"2 to 4",2.5,"30-45 minutes",14+
"Star Wars: The Card Game",103886,"Hand Management",2,3,"60 minutes",10+
Bonbons,104376,Children's/Memory,"2 to 6",1,"10-20 minutes",7+
Sagrada,107448,"Card Drafting","1 to 4",2,"30-45 minutes",14+
Seasons,108745,"Card Drafting","2 to 4",3,"60 minutes",14+
"Among the Stars",110277,"Strategy/City Building","2 to 4",2,"30 minutes",12+
"Lords of Waterdeep",110327,"Strategy/City Building","2 to 5",2.5,"60-120 minutes",12+
Zombicide,113924,Thematic/Horror,"1 to 6",2.5,"45-180 minutes",13+
"Kittens in a Blender",115105,Party,"2 to 4",1,"30 minutes",8+
"Fortress America",115293,Wargames,"2 to 4",2.5,"150 minutes",13+
Spinout,116768,Puzzle,1,2,-,8+
Indigo,116954,"Abstract / Family","2 to 4",1.5,"30 minutes",8+
"Star Trek: Catan",117985,Thematic/Strategy,"3 to 4",2.5,"75 minutes",10+
Sequence,118561,Card,"2 to 6",1,"15-120 minutes",7+
Chameleon,119431,Party,"3 to 8",1,"5 minutes",14+
Redshirts,120426,Humor,"2 to 7",1.5,"30 minutes",12+
"Terra Mystica",120677,Strategy,"2 to 5",4,"60-150 minutes",12+
Push,120946,"Cards/Push Your Luck","2 to 6",1,"20 minutes",8+
"Steam Park",121410,"Family/City Building","2 to 4",2,"90 minutes",8+
"Smash Up",122522,Strategy/Card/Family,"2 to 4",2,"45 minutes",12+
Suburbia,123260,"City Building/Card Drafting","1 to 4",3,"90 minutes",8+
Tokaido,123540,"Set Collection","2 to 5",2,"45 minutes",8+
Concordia,124361,"Strategy/Card Drafting","2 to 5",3,"100 minutes",13+
"Android: Netrunner",124742,Bluffing,2,3.5,"45 minutes",14+
"Pixel Tactics",125548,"Hand Management",2,2.5,"45 minutes",12+
Libertalia,125618,"Hand Management","2 to 6",2,"45 minutes",14+
Kemet,127023,"Area Control","2 to 5",3,"90-120 minutes",13+
"Ars Victor",128204,Wargame,2,2.5,"60 minutes",13+
Viticulture,128621,Strategy,"2 to 6",3,"90 minutes",13+
"The Resistance: Avalon",128882,Card,2,2,"45 minutes",12+
"Love Letter",129622,Family/Bluffing,"2 to 4",1,"20 minutes",10+
"Shadows Over Camelot: The Card Game",129904,Family,"1 to 7",2,"20 minutes",8+
Celestia,130853,"Press Your Luck","2 to 6",1.5,"30 minutes",8+
Coup,131357,Party/Bluffing/Memory,"2 to 6",1.5,"15 minutes",9+
"Castle: The Detective Card Game",131389,Murder/Mystery,"2 to 5",1,"25 minutes",15+
"BioShock Infinite: The Siege of Columbia",132428,Strategy,"2 to 4",3,"60 minutes",13+
"Roll for the Galaxy",132531,"Strategy/Pool Building","2 to 5",3,"45 minutes",13+
"Dead Panic",133437,Co-op,"2 to 6",2,"90 minutes",13+
"Euphoria: Build a Better Dystopia",133848,"Dice Rolling/Set Collection","2 to 6",3,"60 minutes",13+
"Smash Up: Awesome Level 9000",134726,Strategy/Card/Family,"2 to 4",2,"45 minutes",12+
"The Battle of Five Armies",135219,Thematic/Wargames,2,3.5,"90-240 minutes",13+
"Forbidden Desert",136063,"Co-op Grid Movement","2 to 5",2,"45 minutes",10+
"Expedition: Famous Explorers",136558,Strategy,"2 to 6",2,"60-90 minutes",13+
Schmovie,137968,Party,15-Mar,1,"35 minutes",17+
"Zombicide Season 2: Prison Outbreak",137988,Thematic/Horror,"1 to 6",2.5,"90-180 minutes",13+
Mascarade,139030,Party,"2 to 13",1.5,"30 minutes",10+
"Terrene Odyssey",139177,Deduction,"2 to 4",2.5,"20 minutes",12+
Superfight,139443,Party,"3 to 10",1.5,"30 minutes",5+
"Brew Crafters",139898,"Worker Placement","2 to 5",3.5,"90 minutes",12+
"A Study in Emerald",141517,Deckbuilding/Horror,"2 to 5",3,"60 minutes",13+
"The Three Little Pigs",141554,Childrens,"2 to 5",1,"20 minutes",7+
"Gravwell: Escape from the 9th Dimension",142992,"Card Drafting","1 to 4",2,"20-35 minutes",12+
"Florenza: The Card Game",143484,"Strategy/City Building","2 to 4",2.5,"60 Minutes",14+
"Something Different",143869,Party,"3 to 6",1,"30 minutes",13+
"Arcane Academy",144734,"Card Drafting/Tile Placement","2 to 4",2.5,"30-45 minutes",12+
Prosperity,145203,"Card Drafting/Tile Placement","2 to 4",2.5,"60 minutes",13+
Coconuts,145639,Action/Dexterity,"2 to 4",1,"20 minutes",6+
"Eldritch Horror",146021,Fantasy/Adventure,"1 to 8",3.5,"120-240 minutes",14+
"Tash-Kalar: Arena of Legends",146278,Abstract,"2 to 4",3,"30-60 minutes",13+
"Ender's Game: Battle School",146388,"Dice Rolling",2,2.5,"30-45 minues",15+
"Star Realms",147020,"Card Drafting",2,2,"20 minutes",12+
Concept,147151,Party,"4 to 12",1.5,"40 minutes",10+
"One Night Ultimate Werewolf",147949,Party/Bluffing,"3 to 10",1.5,"10 minutes",8+
Splendor,148228,"Card Drafting","2 to 4",2,"30 minutes",10+
"Cat Tower",150485,Stacking,"2 to 6",1,"15 minutes",4+
"Shadows of Brimstone: Swamps of Death",150997,Thematic,"1 to 4",3.5,"60 minutes",12+
"Smash Up: Science Fiction Double Feature",151004,Strategy/Card/Family,"2 to 4",2,"45 minutes",12+
"Heroes Wanted",153097,"Grid Movement/Humor","1 to 5",2.5,"45 minutes",13+
"Livestock Uprising",153213,"Territory Building","2 to 4",2.5,"90 minutes",14+
Pyramix,153709,Abstract,"2 to 4",1.5,"15 minutes",8+
"Camel Up",153938,Family/Wagering,"2 to 8",1.5,"20-30 minutes",8+
"Medieval Academy",154386,"Card Drafting","2 to 5",2,"30 minutes",8+
"Till Dawn",154498,"Press Your Luck","4 to 8",1.5,"30 minutes",8+
"Hive Pocket",154597,Abstract,2,2.5,"20 minutes",9+
"Castles of Mad King Ludwig",155426,"Card Drafting","1 to 4",2.5,"90 minutes",13+
Evolution,155703,Strategy/Animals,"2 to 6",2.5,"50-70 minutes",10+
Inis,155821,"Card Drafting","2 to 4",3,"60-90 minutes",14+
"Sons of Anarchy: Men of Mayhem",156091,Thematic/Negotiation,"3 to 4",2.5,"60 minutes",13+
"Deception: Murder in Hong Kong",156129,Bluffing/Party,"4 to 12",1.5,"20 minutes",14+
"The Black Rose",156358,Bluffing/Card,"3 to 5",2,"20 minutes",15+
Monikers,156546,Party/Trivia/Acting,"4 to 20",1,"60 minutes",18+
"Trains: Rising Sun",157001,Strategy,"2 to 4",2.5,"45 minutes",12+
Madness,157086,Cards,"2 or 4",1,"35 minutes",8+
"Five Tribes",157354,Strategy,"2 to 4",3,"40-80 minutes",13+
Viceroy,157526,"Card Drafting","1 to 4",2.5,"45-60 minutes",12+
"Stay Away!",158392,Bluffing/Deduction,"4 to 12",1,"15-60 minutes",12+
"Billionaire Banshee",158564,Party/Adult,15-Jan,1,"60 minutes",17+
"Backyard Builders Treehouse",158742,"Card Drafting","2 to 5",1,"5-10 minutes",6+
"Colt Express",158899,"Hand Management","2 to 6",2,"30-40 minutes",10+
"Samurai Spirit",158900,Co-Op/Strategy,"1 to 7",2,"30 minutes",9+
"XenoShyft: Onslaught",159109,Thematic/Strategy,"1 to 4",2.5,"30-60 minutes",13+
